id,user_id,repo_id,first_pr,first_commit,last_commit,active,length,frequency,diff,avg_commit_size,last_pr,first_pr_status,last_pr_status,commits_at_first_pr,more_than_a_year,total_commits,total_prs,total_adds,total_dels,first_issue_opened
58,58,1,2010-09-27 21:10:30 UTC,2010-09-27 22:25:24 UTC,2013-02-13 18:11:13 UTC,false,75152749.0,0.000000146368564641594,4494.0,9.45454545454546,2013-02-13 18:12:20 UTC,0,0,1681,true,11,8,96,8,""
100,92,2,2012-01-26 09:57:15 UTC,2012-01-26 09:53:38 UTC,2018-02-13 05:48:24 UTC,false,190929286.0,0.00000134081054490509,0.0,26.015625,2018-02-13 05:56:10 UTC,0,0,28015,true,256,185,3558,3102,2013-04-04 19:20:52 UTC
105,97,2,2014-08-27 13:38:48 UTC,2014-08-27 13:31:42 UTC,2017-08-17 23:39:39 UTC,false,93866877.0,0.00000247158537084386,0.0,12.7155172413793,2017-08-07 08:42:34 UTC,0,0,46818,true,232,225,1837,1113,2015-08-22 03:52:51 UTC
107,99,2,2012-03-05 20:13:18 UTC,2012-03-05 20:10:23 UTC,2013-09-24 13:32:00 UTC,false,49051297.0,0.00000436277964270751,0.0,39.9532710280374,2013-07-24 18:51:43 UTC,0,0,28779,true,214,63,4504,4046,2012-05-09 19:22:10 UTC
52,52,1,"",2008-05-18 23:40:29 UTC,2008-05-29 17:50:24 UTC,"",929395.0,0.0000129116253046337,"","","","","","","","","","","",""
81,77,2,2014-06-08 06:58:47 UTC,2014-06-15 00:31:28 UTC,2018-04-17 06:00:57 UTC,true,121152569.0,0.00000594291979066494,581561.0,13.2541666666667,2018-04-17 06:14:13 UTC,0,0,45007,true,720,686,6034,3509,""
103,95,2,"",2009-11-12 05:08:50 UTC,2013-05-14 05:00:44 UTC,"",110505114.0,0.00000218089454212952,"","","","","","","","","","","",""
106,98,2,"",2005-07-07 19:23:35 UTC,2007-09-27 05:04:02 UTC,"",70105227.0,0.00000329504674451735,"","","","","","","","","","","",""
4,4,1,"",2015-07-22 03:17:39 UTC,2016-11-16 19:56:25 UTC,"",41791126.0,0.0000112942637630774,"","","","","","","","","","","",""
121,112,2,2013-05-24 15:42:42 UTC,2013-05-24 15:41:54 UTC,2018-04-10 11:37:05 UTC,true,153950111.0,0.000000701525963823436,0.0,109.37962962963,2018-04-10 10:38:21 UTC,0,0,37896,true,108,25,10425,1388,2016-03-03 14:34:05 UTC
123,114,2,2011-05-26 07:45:46 UTC,2011-05-26 12:58:43 UTC,2018-04-02 11:17:24 UTC,true,216253121.0,0.000000480917914706073,18777.0,37.1826923076923,2018-04-02 11:20:14 UTC,0,0,23033,true,104,143,2343,1524,2014-05-02 16:46:35 UTC
129,120,2,2010-12-23 19:54:50 UTC,2009-08-08 14:27:57 UTC,2014-05-01 04:59:32 UTC,false,149178695.0,0.000000589896566664563,-43392413.0,124.511363636364,2014-05-01 05:04:31 UTC,0,0,20348,true,88,4,6781,4176,2011-10-10 14:52:43 UTC
130,121,2,2011-05-07 20:42:42 UTC,2011-05-07 20:20:51 UTC,2012-11-25 19:02:01 UTC,false,49070470.0,0.00000179333925271146,0.0,31.7272727272727,2012-02-25 21:09:00 UTC,0,0,22393,true,88,2,1759,1033,2011-05-07 18:19:01 UTC
138,56,2,2011-08-31 22:29:41 UTC,2011-08-31 22:37:54 UTC,2017-08-12 18:11:58 UTC,false,187731244.0,0.000000426141106272113,493.0,124.5375,2017-08-12 18:14:27 UTC,0,0,24907,true,80,92,8884,1079,2012-01-25 21:59:47 UTC
124,115,2,2014-07-17 23:52:33 UTC,2005-04-18 02:16:13 UTC,2016-06-30 17:18:52 UTC,false,353516559.0,0.00000029135834624369,-291850580.0,251.941747572816,2016-06-30 17:22:55 UTC,0,0,45938,true,103,4,16702,9248,""
141,128,2,2011-03-29 08:44:58 UTC,2010-01-18 08:07:42 UTC,2014-05-02 08:21:39 UTC,false,135216837.0,0.000000525082538352824,-37586236.0,13.3239436619718,2015-03-19 14:57:17 UTC,0,0,21564,true,71,75,712,234,2011-05-22 13:42:06 UTC
144,130,2,2011-11-26 14:26:12 UTC,2011-11-26 14:23:20 UTC,2015-06-08 20:55:10 UTC,false,111479510.0,0.000000583066789583126,0.0,22.6923076923077,2015-06-08 21:46:05 UTC,0,0,26248,true,65,62,887,588,2011-12-23 09:50:40 UTC
147,133,2,2011-07-23 19:55:25 UTC,2009-04-14 05:12:55 UTC,2014-02-04 07:18:03 UTC,false,151812308.0,0.000000395224872017623,-71764950.0,33.7833333333333,2015-01-31 19:43:05 UTC,0,0,24126,true,60,31,1467,560,2011-05-05 20:21:18 UTC
163,149,3,2014-12-04 21:17:31 UTC,2010-05-23 20:48:50 UTC,2018-03-30 10:47:02 UTC,true,247759092.0,0.0000085365182077758,-143080121.0,1168.01182033097,2018-04-14 09:38:26 UTC,0,0,10525,true,2115,478,1536229,934116,2014-12-09 16:12:00 UTC
132,122,2,2013-01-19 02:49:47 UTC,2013-01-20 17:40:36 UTC,2013-09-25 06:20:25 UTC,false,21386389.0,0.00000388097308058878,139849.0,45.855421686747,2013-09-24 18:09:54 UTC,0,0,35357,false,83,96,2840,966,""
164,150,3,2015-01-12 20:07:08 UTC,2010-02-05 22:26:44 UTC,2015-01-16 00:37:47 UTC,false,155959863.0,0.0000104514069751395,-155684424.0,1090.44355828221,2017-06-14 18:30:06 UTC,0,0,10717,true,1630,3,1117291,660132,2015-01-14 19:04:28 UTC
169,155,3,2015-08-04 21:49:13 UTC,2014-12-19 17:53:20 UTC,2018-04-11 23:11:35 UTC,true,104476695.0,0.00000441246729713263,-19713353.0,450.971800433839,2018-04-16 23:48:32 UTC,0,0,11988,true,461,425,150837,57061,2015-05-16 06:03:30 UTC
170,156,3,2015-01-07 21:41:20 UTC,2012-11-09 22:02:45 UTC,2018-04-12 19:25:55 UTC,true,171062590.0,0.00000212203030481416,-68168315.0,618.6391184573,2018-04-12 19:29:34 UTC,0,0,10639,true,363,82,138181,86385,2015-02-05 20:00:25 UTC
173,159,3,2014-11-27 23:39:01 UTC,2012-03-14 03:53:27 UTC,2018-04-16 06:51:56 UTC,true,192164309.0,0.00000164442607289786,-85434334.0,107.629746835443,2018-04-23 07:36:58 UTC,0,0,10491,true,316,256,19195,14816,2014-11-28 10:23:24 UTC
178,164,3,2016-04-22 01:19:03 UTC,2016-04-22 01:11:03 UTC,2018-04-19 12:02:31 UTC,true,62851888.0,0.000003643486413646,0.0,349.043668122271,2018-04-22 21:44:38 UTC,0,0,13868,true,229,253,50340,29591,2015-01-14 07:11:35 UTC
179,165,3,2016-12-01 16:04:10 UTC,2016-12-01 16:00:10 UTC,2018-04-18 07:39:12 UTC,true,43429142.0,0.00000469730670709543,0.0,125.588235294118,2018-04-23 09:57:39 UTC,0,0,15651,true,204,160,16168,9452,2017-01-05 04:00:13 UTC
181,167,3,2015-10-07 19:43:46 UTC,2015-10-13 04:26:50 UTC,2018-04-17 15:30:03 UTC,true,79268593.0,0.0000021319919227026,463384.0,2292.87573964497,2018-04-17 15:31:33 UTC,0,0,12394,true,169,237,252788,134708,2015-10-16 21:53:49 UTC
185,171,3,2014-12-30 06:18:33 UTC,2013-04-30 22:24:48 UTC,2017-11-12 09:47:14 UTC,false,143119346.0,0.000000992178932958511,-52559625.0,79.2746478873239,2017-11-12 13:38:59 UTC,0,0,10615,true,142,126,7734,3523,2015-02-17 05:55:09 UTC
187,173,3,2015-05-05 17:25:10 UTC,2015-05-05 17:23:56 UTC,2018-03-07 19:12:41 UTC,false,89603325.0,0.0000015178008182174,0.0,46.0,2018-03-07 19:16:46 UTC,0,0,11570,true,136,173,3687,2569,2015-04-03 15:47:06 UTC
136,126,2,"",2005-02-18 10:38:40 UTC,2005-11-09 05:29:08 UTC,"",22791028.0,0.00000337852246068058,"","","","","","","","","","","",""
